"STAND","StrainAlias","FINAL1011order","Clade","Ploidy","Ty1_ratio_over_ploidy","Ty2_ratio_over_ploidy","Ty3_ratio_over_ploidy","Ty4_ratio_over_ploidy","Ty5_ratio_over_ploidy","Total_ratio_over_ploidy","Ty1_count","Ty2_count","Ty3_count","Ty4_count","Ty5_count","Total_count","Sporulation in water","Asci at 24h","Dyads at 24h","Asci at 72h","Dyads at 72h","CLS in water (day 8)","CLS in water (day 20)","CLS in SDC (day 7)","CLS in SDC (day 21)","CLS in SDC (day 35)","CLS in crSDC (day 7)","CLS in crSDC (day 21)","CLS in crSDC (day 35)"
"BFC",NA,1,"01.Wine_European",2,0.03,9.66,0.01,0.01,2.17,11.88,0.06,19.32,0.02,0.02,4.34,23.76,"0","22","0","51","15.686274510000001","71.099999999999994","56","98.72324132","61.855534910000003","33.2567515","95.05232101","82.199303330000006","62.250546200000002"
"AGL",NA,2,"01.Wine_European",1,0.02,7.67,0,0,1.15,8.84,0.02,7.67,0,0,1.15,8.84,"0","NA","NA","NA","NA","41.9","41.4","NA","NA","NA","NA","NA","NA"
"ABE",NA,3,"01.Wine_European",1,0.04,9.15,0,0,0.98,10.17,0.04,9.15,0,0,0.98,10.17,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SACE_YAM",NA,4,"01.Wine_European",2,0.62,9.81,0.12,0.16,1.41,12.12,1.24,19.62,0.24,0.32,2.82,24.24,"0","40.59405941","0","58.196721310000001","2.8169014080000001","91.72","64.998599999999996","40.749885190000001","13.25966646","5.0072397249999998","92.813186909999999","82.88085289","64.505855830000002"
"BKI",NA,5,"01.Wine_European",2,0.01,11.14,0.01,0,2.12,13.28,0.02,22.28,0.02,0,4.24,26.56,"0","9","0","54","14.81481481","81.099999999999994","66.2","96.767050119999993","62.349234000000003","27.927228400000001","97.217150489999995","71.618866519999997","58.163346500000003"
"ABR",NA,6,"01.Wine_European",1,0.02,14.95,0,0,1.96,16.93,0.02,14.95,0,0,1.96,16.93,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ABQ",NA,7,"01.Wine_European",1,0.03,14.93,0,0,2.19,17.15,0.03,14.93,0,0,2.19,17.15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BNV",NA,8,"01.Wine_European",2,0.01,15.05,0,0,2.22,17.28,0.02,30.1,0,0,4.44,34.56,"0","0","NA","3","0","57.6","38.4","92.812408090000005","47.019868850000002","19.359911319999998","89.24036649","69.092220470000001","58.963735839999998"
"BPB",NA,9,"01.Wine_European",2,0.01,12.78,0,0,2.27,15.06,0.02,25.56,0,0,4.54,30.12,"0","10","10","82","63.414634149999998","84.2","65.900000000000006","90.492856450000005","56.234827410000001","38.325860130000002","92.153626729999999","74.670942100000005","52.48894147"
"BPT",NA,10,"01.Wine_European",2,0.61,7.85,0.01,0,2.09,10.56,1.22,15.7,0.02,0,4.18,21.12,"0","0","NA","58","34.482758619999998","73.7","53.8","97.867637380000005","79.039972030000001","53.808179449999997","97.318903759999998","89.407261829999996","78.829315960000002"
"BQM",NA,11,"01.Wine_European",2,0.61,8.31,0,0,2.31,11.23,1.22,16.62,0,0,4.62,22.46,"0","0","NA","47","17.0212766","65.599999999999994","58.2","92.578027579999997","50.704133280000001","28.189326950000002","95.631469920000001","65.560362299999994","48.228273010000002"
"BFK",NA,12,"01.Wine_European",2,0.02,11.15,0,0,2.14,13.31,0.04,22.3,0,0,4.28,26.62,"0","32","9.375","72","33.333333330000002","80.099999999999994","69","99.906139999999994","57.649976209999998","25.00670581","95.532042570000002","89.57226378","82.380728680000004"
"BQS",NA,13,"01.Wine_European",2,1.14,6.53,0,0,1.14,8.81,2.28,13.06,0,0,2.28,17.62,"0","0","NA","8","0","72.599999999999994","41.9","85.31821798","21.057744230000001","9.8159512870000007","97.211344749999995","49.52085194","27.478511860000001"
